CPCDebate
CPC_HQ
AndrewScheer
liberal_party
JustinTrudeau
NDP
theJagmeetSingh
CanadianGreens
yfblanchet
BlocQuebecois.
StephenHarper
ThomasMulcair
ElizabethMay
GillesDuceppe
peoplespca
MaximeBernier
hon.maximebernier
